GEO_ID,NAME,S1901_C01_001E,S1901_C01_012E,S1901_C01_013E
Geography,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
8600000US40815,ZCTA5 40815,393,27688,30804
8600000US40816,ZCTA5 40816,0,-,-
8600000US40818,ZCTA5 40818,35,31563,32829
8600000US40819,ZCTA5 40819,300,25539,33583
8600000US40820,ZCTA5 40820,183,27384,42522
8600000US40823,ZCTA5 40823,1589,30896,39887
8600000US40824,ZCTA5 40824,178,-,34785
8600000US40826,ZCTA5 40826,276,19113,34185
8600000US40827,ZCTA5 40827,366,47778,50826
8600000US40828,ZCTA5 40828,1374,29693,37459
8600000US40829,ZCTA5 40829,58,-,N
8600000US40830,ZCTA5 40830,131,22525,20754
8600000US40831,ZCTA5 40831,1993,21438,38946
8600000US40840,ZCTA5 40840,90,17941,22018
8600000US40843,ZCTA5 40843,111,35804,46054
8600000US40844,ZCTA5 40844,31,-,N
8600000US40845,ZCTA5 40845,218,21458,25842
8600000US40847,ZCTA5 40847,84,30658,47115
8600000US40849,ZCTA5 40849,139,-,30004
8600000US40854,ZCTA5 40854,460,33750,36528
8600000US40855,ZCTA5 40855,309,32125,39003
8600000US40856,ZCTA5 40856,320,35833,40589
8600000US40858,ZCTA5 40858,156,-,37797
8600000US40862,ZCTA5 40862,176,57813,63061
8600000US40863,ZCTA5 40863,185,13869,19095
8600000US40865,ZCTA5 40865,167,-,33636
8600000US40868,ZCTA5 40868,346,27237,35141
8600000US40870,ZCTA5 40870,149,31359,41961
8600000US40873,ZCTA5 40873,903,39952,39078
8600000US40874,ZCTA5 40874,146,-,44858
8600000US40902,ZCTA5 40902,457,31033,42340
8600000US40903,ZCTA5 40903,274,-,49868
8600000US40906,ZCTA5 40906,4425,27039,46228
8600000US40913,ZCTA5 40913,138,40278,33999
8600000US40914,ZCTA5 40914,168,-,63176
8600000US40915,ZCTA5 40915,374,32756,48781
8600000US40921,ZCTA5 40921,55,-,33987
8600000US40923,ZCTA5 40923,186,51458,45409
8600000US40927,ZCTA5 40927,201,53811,149652
8600000US40935,ZCTA5 40935,1082,17851,23961
8600000US40939,ZCTA5 40939,84,21771,30950
8600000US40940,ZCTA5 40940,128,18065,20611
8600000US40941,ZCTA5 40941,69,-,26420
8600000US40943,ZCTA5 40943,221,-,35302
8600000US40946,ZCTA5 40946,89,-,40893
8600000US40949,ZCTA5 40949,298,34573,39476
8600000US40953,ZCTA5 40953,200,40962,39039
8600000US40958,ZCTA5 40958,120,-,37589
8600000US40962,ZCTA5 40962,6534,27222,40998
8600000US40964,ZCTA5 40964,27,-,64907
8600000US40965,ZCTA5 40965,4843,26412,39231
8600000US40972,ZCTA5 40972,447,24583,38525
8600000US40977,ZCTA5 40977,3987,29792,41832
8600000US40979,ZCTA5 40979,0,-,-
8600000US40982,ZCTA5 40982,125,39554,39006
8600000US40983,ZCTA5 40983,95,16836,26677
8600000US40988,ZCTA5 40988,279,31438,37891
8600000US40995,ZCTA5 40995,27,-,22359
8600000US40997,ZCTA5 40997,132,9000,13492
8600000US41001,ZCTA5 41001,6141,86182,103628
8600000US41002,ZCTA5 41002,1006,58333,71888
8600000US41003,ZCTA5 41003,854,51250,54053
8600000US41004,ZCTA5 41004,1545,55272,66918
